mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.05787978172302246,0.0035410874692099496,0.002283620834350586,0.0007452669674771759,5,1,2,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.9201388888888888,0.9131944444444444,0.9233449477351916,0.9616724738675958,0.926829268292683,0.9290360046457607,0.01692637371537227,104
0.12023344039916992,0.005170115947605505,0.004925251007080078,0.001532271250095983,5,1,2,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9479166666666666,0.9375,0.9303135888501742,0.9616724738675958,0.9372822299651568,0.9429369918699188,0.010924311999926146,89
0.22041378021240235,0.006972577347383298,0.0055140495300292965,0.0015512780551949939,5,1,2,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9583333333333334,0.9340277777777778,0.9407665505226481,0.9686411149825784,0.9407665505226481,0.9485070654277973,0.012895087477574018,82
0.05653223991394043,0.0029957847540774823,0.0017533302307128906,0.0005626629570570739,5,1,5,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.9305555555555556,0.8993055555555556,0.9442508710801394,0.9512195121951219,0.9303135888501742,0.9311290166473093,0.017829960914637583,100
0.09725728034973144,0.00454525166564881,0.0026857852935791016,0.0009835307655467432,5,1,5,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9444444444444444,0.9305555555555556,0.9407665505226481,0.9616724738675958,0.926829268292683,0.9408536585365853,0.012239761842046157,95
0.22224721908569336,0.01192249990945884,0.006408405303955078,0.0015870658780114328,5,1,5,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9583333333333334,0.9340277777777778,0.9407665505226481,0.9686411149825784,0.9372822299651568,0.9478102013162989,0.01337960886938385,83
0.0669034481048584,0.0082084596276162,0.0024349212646484373,0.0019878792932482006,5,1,10,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.9270833333333334,0.9027777777777778,0.9337979094076655,0.9512195121951219,0.9372822299651568,0.930432152535811,0.015914428893445354,103
0.10056042671203613,0.007403911144846204,0.0025141239166259766,0.0007158040646982904,5,1,10,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.9479166666666666,0.9201388888888888,0.9337979094076655,0.9547038327526133,0.9337979094076655,0.9380710414247,0.01209683837042363,98
0.19440021514892578,0.013360412435284328,0.00459132194519043,0.0012784493898334972,5,1,10,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.9583333333333334,0.9305555555555556,0.9337979094076655,0.9616724738675958,0.9303135888501742,0.9429345722028648,0.014030243648110953,91
0.04828367233276367,0.004931404692756802,0.002109527587890625,0.0006181719567222699,5,2,2,50,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.9166666666666666,0.90625,0.9337979094076655,0.9442508710801394,0.9337979094076655,0.9269526713124273,0.013618698729377087,108
0.1008542537689209,0.009023245348034848,0.0027341842651367188,0.0009201330327744307,5,2,2,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9479166666666666,0.9236111111111112,0.9407665505226481,0.9651567944250871,0.9233449477351916,0.9401592140921409,0.015760616839966234,96
0.19137897491455078,0.007113693562653939,0.005515623092651367,0.0020135311240372248,5,2,2,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9444444444444444,0.9375,0.9407665505226481,0.9581881533101045,0.9372822299651568,0.9436362756484706,0.007728821099745757,88
0.05630898475646973,0.012300892650846957,0.0018956184387207032,0.000719973698171323,5,2,5,50,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.9270833333333334,0.9097222222222222,0.9337979094076655,0.9407665505226481,0.9337979094076655,0.929033584978707,0.01058104217907557,105
0.09568638801574707,0.00529326712811543,0.0024253368377685548,0.0006599654795984225,5,2,5,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9513888888888888,0.9340277777777778,0.9442508710801394,0.9686411149825784,0.9163763066202091,0.9429369918699188,0.017428177664132526,89
0.20197000503540039,0.013312775107358323,0.005393314361572266,0.0014615131894500303,5,2,5,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9583333333333334,0.9305555555555556,0.9407665505226481,0.9616724738675958,0.9372822299651568,0.945722028648858,0.012159527785989405,84
0.04955945014953613,0.0029236183836121245,0.0018708229064941407,0.00044302705054458325,5,2,10,50,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.9201388888888888,0.9027777777777778,0.9337979094076655,0.9477351916376306,0.9337979094076655,0.9276495354239257,0.015192450300106164,106
