mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1542790412902832,0.033596170799513846,0.007727622985839844,0.0033055605853572045,5,1,2,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.9201388888888888,0.9131944444444444,0.9233449477351916,0.9616724738675958,0.926829268292683,0.9290360046457607,0.01692637371537227,104
0.3746086597442627,0.038202855652450934,0.00919346809387207,0.0005933580500022763,5,1,2,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9409722222222222,0.9375,0.9303135888501742,0.9616724738675958,0.9372822299651568,0.9415481029810298,0.010640686634962985,92
0.6674030780792236,0.051161178984980196,0.01992664337158203,0.006104608051690991,5,1,2,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9583333333333334,0.9340277777777778,0.9407665505226481,0.9686411149825784,0.9407665505226481,0.9485070654277973,0.012895087477574018,82
0.157423734664917,0.016860405033638684,0.010286664962768555,0.004933004270780329,5,1,5,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.9305555555555556,0.8993055555555556,0.9442508710801394,0.9512195121951219,0.9303135888501742,0.9311290166473093,0.017829960914637583,100
0.3142422676086426,0.01081890932569129,0.011087894439697266,0.00200316215269974,5,1,5,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9444444444444444,0.9305555555555556,0.9407665505226481,0.9616724738675958,0.926829268292683,0.9408536585365853,0.012239761842046157,95
0.5451654911041259,0.0402763552577126,0.018852853775024415,0.004341662825467154,5,1,5,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9583333333333334,0.9340277777777778,0.9407665505226481,0.9686411149825784,0.9372822299651568,0.9478102013162989,0.01337960886938385,83
0.12925982475280762,0.007547005121333895,0.004814004898071289,0.0006242079178430461,5,1,10,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.9270833333333334,0.9027777777777778,0.9337979094076655,0.9512195121951219,0.9372822299651568,0.930432152535811,0.015914428893445354,103
0.26989994049072263,0.01899744876399882,0.0103485107421875,0.0016320025780984394,5,1,10,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.9479166666666666,0.9201388888888888,0.9337979094076655,0.9547038327526133,0.9337979094076655,0.9380710414247,0.01209683837042363,98
0.5152369976043701,0.022735040479879457,0.015549135208129884,0.0006922749616380998,5,1,10,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.9583333333333334,0.9305555555555556,0.9337979094076655,0.9616724738675958,0.9303135888501742,0.9429345722028648,0.014030243648110953,90
0.12977261543273927,0.009514996478834626,0.005114555358886719,0.0006598790054028468,5,2,2,50,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.9166666666666666,0.90625,0.9337979094076655,0.9442508710801394,0.9337979094076655,0.9269526713124273,0.013618698729377087,108
0.24818220138549804,0.007411269689177867,0.008547639846801758,0.0007638348838185283,5,2,2,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9479166666666666,0.9236111111111112,0.9407665505226481,0.9651567944250871,0.9233449477351916,0.9401592140921409,0.015760616839966234,96
0.5189234733581543,0.008311323847746414,0.018883371353149415,0.002981841250374478,5,2,2,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9444444444444444,0.9375,0.9407665505226481,0.9581881533101045,0.9372822299651568,0.9436362756484706,0.007728821099745757,88
0.12485551834106445,0.008527540551290291,0.004892206192016602,0.000528088306929858,5,2,5,50,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.9270833333333334,0.9097222222222222,0.9337979094076655,0.9407665505226481,0.9337979094076655,0.929033584978707,0.01058104217907557,105
0.2512617588043213,0.0076942866625756695,0.008643484115600586,0.0009057815285427274,5,2,5,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9513888888888888,0.9340277777777778,0.9442508710801394,0.9686411149825784,0.9163763066202091,0.9429369918699188,0.017428177664132526,89
0.5000381946563721,0.014412009673510851,0.016321611404418946,0.0014251133028498053,5,2,5,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9583333333333334,0.9305555555555556,0.9407665505226481,0.9616724738675958,0.9372822299651568,0.945722028648858,0.012159527785989405,84
0.12516703605651855,0.006266401530966488,0.005175924301147461,0.000593347036786769,5,2,10,50,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.9201388888888888,0.9027777777777778,0.9337979094076655,0.9477351916376306,0.9337979094076655,0.9276495354239257,0.015192450300106164,106
0.24828219413757324,0.006512490794249322,0.008461904525756837,0.000720996017578683,5,2,10,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.9444444444444444,0.9201388888888888,0.9407665505226481,0.9616724738675958,0.926829268292683,0.9387703252032521,0.014494193440204884,97
